#{"t_start": 1741225022.2830396, "env_id": "None"}
r,l,t
-106.01593,2,0.974748
-104.896484,3,0.990693
-102.692055,3,0.990715
-104.29947,3,0.990721
-104.224724,3,0.990725
-106.699936,3,0.99073
-104.816124,4,1.004786
-107.17736,4,1.035877
-103.48147,3,1.0359
-104.60794,3,1.035906
-106.10515,7,1.054449
-101.91488,5,1.06921
-107.456726,8,1.06923
-103.94838,2,1.069237
-103.85051,2,1.069242
-103.65128,2,1.069246
-111.861435,5,1.06925
-106.13304,7,1.116484
-112.341385,12,1.131766
-101.932846,4,1.131785
-101.56619,5,1.131791
-102.46574,5,1.147555
-107.71269,6,1.167416
-104.23651,11,1.167435
-105.28104,3,1.182197
-110.48587,8,1.196965
-107.056244,9,1.213454
-101.85368,6,1.213473
-110.97641,10,1.228253
-103.56853,6,1.228271
-105.426285,7,1.242388
-109.81514,3,1.242406
-98.64279,5,1.242411
-105.08383,6,1.242415
-109.43811,5,1.257358
-103.22487,3,1.277456
-109.75097,4,1.277475
-100.682816,7,1.27748
-107.73753,3,1.293122
-104.822334,3,1.29314
-102.90332,2,1.307664
-104.613556,2,1.307683
-105.23059,4,1.307688
-102.15437,6,1.32234
-106.893425,3,1.322358
-104.99621,2,1.338001
-105.58254,3,1.352764
-104.67558,2,1.352783
-106.60405,3,1.368786
-107.89203,5,1.368805
-113.98919,5,1.387594
-99.76362,11,1.387613
-105.54969,8,1.387618
-105.12693,2,1.387623
-106.52775,4,1.418628
-99.737274,4,1.43384
-107.96027,10,1.448589
-103.667336,4,1.448609
-118.77008,13,1.448615
-106.30495,5,1.463961
-107.47215,6,1.463979
-104.13875,5,1.463984
-103.698906,2,1.463989
-106.156136,3,1.497424
-106.9191,3,1.511443
-104.24397,4,1.511463
-105.06466,4,1.527484
-103.0241,5,1.543209
-101.035484,9,1.558896
-102.90417,4,1.558916
-114.8757,14,1.558923
-104.94609,2,1.573825
-102.96652,4,1.573845
-104.65007,2,1.607497
-107.963875,3,1.622467
-104.89469,15,1.622487
-113.364426,7,1.622492
-101.32158,5,1.638447
-103.083305,3,1.65342
-105.84544,3,1.668205
-101.631805,14,1.682804
-105.78618,2,1.682824
-103.281715,4,1.682829
-103.47895,15,1.682834
-105.50315,5,1.701057
-110.60784,10,1.716703
-102.347565,5,1.716722
-100.87346,13,1.73277
-102.797745,12,1.747448
-112.18791,5,1.762987
-106.75686,5,1.763007
-106.01593,2,1.777037
-106.74327,3,1.777057
-106.06593,7,1.796541
-99.873795,7,1.796575
-105.68065,9,1.811574
-104.37623,3,1.811593
-106.01593,2,1.811599
-113.67848,8,1.842114
-103.99706,3,1.856554
-110.11428,4,1.856573
-110.96345,7,1.870765
-109.482124,10,1.870784
-105.34613,4,1.87079
-99.29437,11,1.870794
-103.04933,6,1.885116
-104.2817,4,1.903477
-104.94272,2,1.919267
-97.79069,7,1.919287
-104.19748,3,1.919293
-99.63132,5,1.935294
-104.707344,2,1.950906
-105.50782,12,1.966983
-105.30176,3,1.967003
-101.40178,7,1.982128
-106.01593,2,1.982148
-105.051125,7,1.982153
-110.32092,5,1.982158
-103.89381,2,1.998734
-104.52295,2,2.020071
-105.08093,7,2.036457
-104.090294,3,2.036477
-107.62561,4,2.051901
-109.50674,7,2.051921
-107.63735,5,2.051926
-107.55032,11,2.05193
-107.92011,5,2.067172
-104.063385,2,2.067191
-102.794174,2,2.08245
-105.12693,2,2.082469
-104.416046,15,2.098741
-110.422966,7,2.113539
-104.42871,2,2.11356
-108.410416,6,2.132272
-103.41887,5,2.132292
-101.3763,3,2.132297
-99.665375,8,2.148193
-107.064514,3,2.163745
-105.80975,8,2.178913
-107.55592,6,2.193962
-103.20368,2,2.193982
-105.716415,3,2.193988
-113.53571,5,2.193993
-100.70317,9,2.208631
-110.89614,5,2.20865
-103.18778,2,2.224103
-104.313515,2,2.225233
-111.17134,7,2.240626
-108.60795,4,2.240645
-104.577866,2,2.255428
-107.654945,5,2.271872
-105.51436,3,2.271891
-113.96484,9,2.271897
-106.66849,4,2.271901
-106.01593,2,2.287511
-104.338585,4,2.302952
-107.32064,15,2.302971
-102.54709,2,2.302976
-102.55894,2,2.302981
-103.32139,6,2.302985
-102.640366,2,2.336492
-103.19216,3,2.336512
-106.09625,3,2.350823
-104.79619,7,2.350842
-101.69879,3,2.350848
-103.23649,3,2.350852
-102.75715,5,2.350856
-106.01593,2,2.365665
-105.31634,12,2.380693
-103.45002,3,2.380713
-104.38777,2,2.380718
-103.99945,2,2.380724
-107.62822,5,2.380728
-108.05846,3,2.396088
-104.36675,2,2.411904
-103.76814,2,2.411931
-110.55316,9,2.411937
-104.123505,2,2.411942
-110.3233,5,2.459991
-104.61492,3,2.460012
-101.925125,7,2.460018
-106.99606,8,2.475683
-102.743095,2,2.490992
-110.61455,8,2.491012
-105.3766,3,2.506085
-100.775734,6,2.506105
-111.35318,7,2.521765
-102.77374,2,2.538896
-108.86359,3,2.538929
-101.820656,4,2.554307
-107.72383,5,2.554327
-101.457535,11,2.569487
-104.4285,3,2.58587
-103.835106,9,2.601821
-104.60576,4,2.601843
-112.48907,13,2.617065
-110.76422,16,2.631948
-106.69575,3,2.631968
-105.12693,2,2.631975
-108.772995,5,2.651551
-107.78168,3,2.682407
-108.80628,3,2.682427
-113.11328,5,2.682433
-103.62171,4,2.682437
-105.56879,4,2.697616
-93.83585,13,2.7134
-110.91412,4,2.742051
-104.423454,4,2.742071
-92.48299,13,2.761354
-107.18108,4,2.761374
-103.43185,7,2.761379
-98.31319,13,2.761384
-103.7604,3,2.761387
-104.21716,7,2.791686
-105.5878,3,2.791707
-104.80704,8,2.806521
-106.92583,3,2.806542
-104.11506,4,2.820887
-105.779945,4,2.820907
-105.12693,2,2.835429
-106.043526,3,2.835449
-110.12853,3,2.835454
-107.99538,6,2.850214
-105.12693,2,2.868261
-103.355225,2,2.868282
-99.232765,4,2.882809
-102.63598,9,2.882829
-109.24865,3,2.897636
-108.62517,3,2.911984
-103.70304,2,2.912004
-104.76291,6,2.927559
-107.17011,3,2.927577
-104.90398,2,2.942723
-104.696175,6,2.959231
-102.587845,4,2.959251
-104.9919,3,2.959256
-107.172,4,2.991069
-104.655136,2,3.021424
-107.296776,6,3.021444
-102.683105,5,3.037684
-104.67183,8,3.070407
-105.28619,7,3.07044
-107.42476,17,3.070448
-107.57191,3,3.070453
-103.29722,8,3.086125
-105.12693,2,3.101526
-104.758835,4,3.101546
-110.0516,22,3.101552
-103.64705,6,3.116091
-102.63484,3,3.11611
-106.14773,3,3.116115
-110.49368,22,3.162735
-109.045654,3,3.162756
-98.34541,7,3.182022
-104.148186,4,3.182041
-108.2627,4,3.182046
-101.96317,6,3.197738
-99.631775,6,3.197757
-104.69047,2,3.213441
-104.58545,2,3.21346
-105.12693,2,3.228357
-102.25951,4,3.228377
-111.83151,10,3.259468
-104.20203,11,3.259488
-99.90666,5,3.259493
-101.28323,3,3.274286
-105.12693,2,3.293642
-106.6013,5,3.309464
-98.99347,6,3.309484
-106.42711,7,3.323873
-104.27577,11,3.338691
-107.985054,4,3.355045
-108.00197,8,3.384757
-110.29484,7,3.384778
-105.023186,2,3.384783
-104.99932,9,3.403058
-97.7162,57,3.418232
-106.53235,8,3.433977
-108.60495,3,3.433998
-105.7598,15,3.434003
-106.88031,8,3.448956
-97.49091,7,3.448976
-106.980484,9,3.448982
-105.03459,2,3.448986
-106.01593,2,3.46396
-104.093544,2,3.479953
-101.7585,3,3.496695
-104.012825,4,3.512765
-101.13443,5,3.512786
-97.53057,8,3.512792
-106.01593,2,3.527631
-101.533905,5,3.527651
-102.12838,7,3.543224
-102.20373,11,3.558916
-108.00848,10,3.558936
-104.41772,3,3.574778
-108.74268,7,3.5748
-104.49149,3,3.590433
-105.12693,2,3.590452
-101.592964,5,3.608332
-104.680626,2,3.623668
-107.76846,3,3.623687
-104.172966,3,3.63873
-103.50854,9,3.65346
-104.992065,10,3.669035
-106.17387,3,3.684229
-104.398125,8,3.700221
-105.12693,2,3.700241
-103.30274,5,3.700248
-112.90121,10,3.719386
-99.65537,13,3.719407
-104.45023,2,3.733906
-104.63246,2,3.733925
-103.7162,6,3.748744
-107.955765,9,3.748763
-104.48124,4,3.763911
-104.13757,3,3.76393
-107.11993,5,3.763936
-100.774345,19,3.779536
-103.972404,5,3.795308
-99.0823,11,3.795329
-104.88423,2,3.795334
-113.474236,6,3.8288
-102.46847,5,3.828821
-109.31051,3,3.828826
-103.021614,2,3.858086
-106.73127,4,3.858107
-104.17357,2,3.858112
-100.67062,7,3.858117
-112.39243,7,3.873302
-102.19348,3,3.873323
-104.816,2,3.887574
-103.22717,6,3.887593
-106.01593,2,3.887599
-104.9838,2,3.887603
-107.982124,8,3.887607
-104.39388,2,3.887612
-106.01593,2,3.902044
-101.90606,11,3.902063
-103.653786,2,3.921109
-104.3052,2,3.937036
-102.76437,2,3.937057
-106.42121,3,3.937063
-105.215935,3,3.937067
-111.5868,4,3.952698
-105.35306,2,3.966772
-101.450836,5,3.966792
-92.79929,12,3.982588
-109.10235,5,3.997421
-104.37345,2,3.997442
-105.710785,4,4.011944
-99.505424,5,4.011964
-102.52894,8,4.011976
-105.40369,6,4.028754
-108.250206,3,4.042725
-102.0058,8,4.057062
-101.159805,13,4.072253
-104.74667,4,4.103687
-106.88562,6,4.103707
-108.02123,3,4.103713
-106.12607,7,4.118518
-99.16994,6,4.118537
-102.24495,8,4.136843
-106.109665,3,4.152172
-106.43784,10,4.152192
-103.52942,12,4.152198
-102.78268,11,4.152201
-101.466095,6,4.167026
-103.12756,4,4.167045
-101.256355,3,4.167051
-103.361404,2,4.198207
-103.04747,6,4.198226
-105.36051,5,4.198231
-103.93722,2,4.198236
-109.383896,3,4.19824
-108.03675,3,4.198245
-109.77035,5,4.227765
-104.42223,6,4.227784
-103.87722,2,4.227789
-103.75019,3,4.246584
-109.01239,5,4.246603
-107.091675,3,4.278123
-103.69079,2,4.278141
-102.79129,3,4.292916
-104.42487,7,4.308044
-106.81842,10,4.308064
-104.91584,3,4.323298
-99.39286,9,4.338177
-99.374756,9,4.339468
-104.831764,5,4.356466
-108.262764,3,4.356485
-106.34244,3,4.371849
-104.39665,2,4.371867
-107.31786,10,4.387472
-105.76221,6,4.402894
-107.13983,7,4.402912
-103.31792,11,4.402917
-106.34566,3,4.402921
-104.93807,2,4.402925
-110.75904,4,4.417586
-105.44322,3,4.417605
-106.87085,5,4.41761
-105.12693,2,4.417615
-104.28034,2,4.43319
-105.02035,2,4.4549
-108.48624,3,4.47062
-104.68877,5,4.48693
-107.29532,5,4.48695
-100.02409,18,4.486955
-101.545746,4,4.50134
-105.711,2,4.516477
-106.402855,3,4.53019
-100.61094,7,4.53021
-102.59584,8,4.530216
-102.82147,5,4.544304
-100.3806,4,4.544324
-105.5194,3,4.576111
-99.76184,11,4.576132
-105.23397,8,4.576137
-102.58432,3,4.591537
-103.80486,4,4.591557
-95.48342,11,4.591563
-102.38974,2,4.607343
-104.13552,5,4.607363
-98.34974,7,4.607369
-108.766754,3,4.622934
-104.27217,3,4.622954
-109.848305,9,4.654574
-104.38221,2,4.654594
-104.943825,2,4.6546
-105.12693,2,4.689336
-105.56619,6,4.689357
-105.12693,2,4.689362
-103.553055,2,4.689367
-94.259155,10,4.703406
-103.30335,7,4.717887
-106.9717,7,4.717908
-102.768974,2,4.734368
